run burst level fpga channel peak over_thr peak_space peak_time 1st_sample 2nd_sample 3rd_sample 4th_sample 5th_sample timestamp
6235.0 41446 l1 PP2 6.0 13.0 1.0 1.0 0.0 0.0 6.0 12.0 10.0 5.0 80003973.0
6235.0 41446 l1 PP2 6.0 14.0 1.0 1.0 0.0 0.0 0.0 0.0 7.0 20.0 80004461.0
6235.0 41446 l1 PP2 6.0 15.0 1.0 1.0 0.0 0.0 0.0 7.0 20.0 22.0 80004462.0
6235.0 41446 l1 PP2 6.0 16.0 1.0 1.0 1.0 0.0 7.0 20.0 22.0 13.0 80004463.0
6235.0 41446 l1 PP2 6.0 17.0 1.0 1.0 0.0 0.0 13.0 15.0 6.0 0.0 80004464.0
6235.0 41446 l1 PP2 6.0 18.0 1.0 1.0 0.0 0.0 1.0 2.0 6.0 7.0 80005349.0
6235.0 41446 l1 PP2 6.0 19.0 1.0 1.0 1.0 0.0 1.0 5.0 6.0 3.0 80005350.0
6235.0 41446 l1 PP2 6.0 20.0 1.0 1.0 1.0 0.0 1.0 6.0 7.0 4.0 80005355.0
6235.0 41446 l1 PP2 6.0 21.0 1.0 1.0 0.0 0.0 1.0 3.0 11.0 18.0 80006032.0
6235.0 41446 l1 PP2 6.0 22.0 1.0 1.0 1.0 0.0 2.0 10.0 17.0 12.0 80006033.0
6235.0 41446 l1 PP2 6.0 23.0 1.0 1.0 0.0 0.0 8.0 15.0 10.0 3.0 80006034.0
6235.0 41446 l1 PP2 6.0 24.0 1.0 1.0 0.0 0.0 0.0 0.0 6.0 11.0 80007806.0
6235.0 41446 l1 PP2 6.0 25.0 1.0 1.0 1.0 0.0 1.0 7.0 12.0 10.0 80007807.0
6235.0 41446 l1 PP2 6.0 26.0 1.0 1.0 0.0 0.0 6.0 11.0 9.0 5.0 80007808.0
6235.0 41446 l1 PP2 7.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 7.0 8.0 80001357.0
6235.0 41446 l1 PP2 7.0 1.0 1.0 1.0 1.0 0.0 2.0 7.0 8.0 6.0 80001358.0
6235.0 41446 l1 PP2 7.0 2.0 1.0 1.0 0.0 0.0 0.0 2.0 10.0 16.0 80001568.0
6235.0 41446 l1 PP2 7.0 3.0 1.0 1.0 1.0 0.0 2.0 10.0 16.0 14.0 80001569.0
6235.0 41446 l1 PP2 7.0 4.0 1.0 1.0 0.0 0.0 8.0 14.0 12.0 6.0 80001570.0
6235.0 41446 l1 PP2 7.0 5.0 1.0 1.0 0.0 0.0 1.0 2.0 12.0 17.0 80001942.0
6235.0 41446 l1 PP2 7.0 6.0 1.0 1.0 1.0 0.0 1.0 11.0 16.0 11.0 80001943.0
6235.0 41446 l1 PP2 7.0 7.0 1.0 1.0 0.0 0.0 10.0 15.0 10.0 2.0 80001944.0
6235.0 41446 l1 PP2 7.0 8.0 1.0 1.0 0.0 0.0 0.0 0.0 8.0 20.0 80005838.0
6235.0 41446 l1 PP2 7.0 9.0 1.0 1.0 0.0 0.0 1.0 9.0 21.0 23.0 80005839.0
6235.0 41446 l1 PP2 7.0 10.0 1.0 1.0 1.0 0.0 8.0 20.0 22.0 13.0 80005840.0
6235.0 41446 l1 PP2 7.0 11.0 1.0 1.0 1.0 0.0 2.0 5.0 6.0 2.0 80006771.0
6235.0 41446 l1 PP3 0.0 0.0 1.0 1.0 1.0 0.0 1.0 5.0 8.0 8.0 80003244.0
6235.0 41446 l1 PP3 0.0 1.0 1.0 1.0 1.0 0.0 4.0 7.0 7.0 4.0 80003245.0
6235.0 41446 l1 PP3 0.0 2.0 1.0 1.0 0.0 0.0 1.0 3.0 6.0 7.0 80006761.0
6235.0 41446 l1 PP3 0.0 3.0 1.0 1.0 1.0 0.0 2.0 5.0 6.0 4.0 80006762.0
6235.0 41446 l1 PP3 0.0 4.0 1.0 1.0 0.0 0.0 1.0 3.0 7.0 10.0 80007380.0
6235.0 41446 l1 PP3 0.0 5.0 1.0 1.0 1.0 0.0 2.0 6.0 9.0 7.0 80007381.0
6235.0 41446 l1 PP3 1.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 9.0 26.0 80006911.0
6235.0 41446 l1 PP3 1.0 1.0 1.0 1.0 0.0 0.0 0.0 9.0 26.0 29.0 80006912.0
6235.0 41446 l1 PP3 1.0 2.0 1.0 1.0 1.0 0.0 9.0 26.0 29.0 19.0 80006913.0
6235.0 41446 l1 PP3 1.0 3.0 1.0 1.0 0.0 0.0 17.0 20.0 10.0 0.0 80006914.0
6235.0 41446 l1 PP3 2.0 0.0 1.0 1.0 1.0 0.0 1.0 3.0 6.0 6.0 80000178.0
6235.0 41446 l1 PP3 2.0 1.0 1.0 1.0 0.0 0.0 1.0 2.0 7.0 9.0 80001491.0
6235.0 41446 l1 PP3 2.0 2.0 1.0 1.0 1.0 0.0 1.0 6.0 8.0 5.0 80001492.0
6235.0 41446 l1 PP3 2.0 3.0 1.0 1.0 0.0 0.0 1.0 2.0 8.0 13.0 80002351.0
6235.0 41446 l1 PP3 2.0 4.0 1.0 1.0 1.0 0.0 1.0 7.0 12.0 10.0 80002352.0
6235.0 41446 l1 PP3 2.0 5.0 1.0 1.0 0.0 0.0 6.0 11.0 9.0 4.0 80002353.0
6235.0 41446 l1 PP3 2.0 6.0 1.0 1.0 1.0 0.0 1.0 6.0 7.0 5.0 80006514.0
6235.0 41446 l1 PP3 2.0 7.0 1.0 1.0 0.0 0.0 0.0 0.0 7.0 25.0 80006911.0
6235.0 41446 l1 PP3 2.0 8.0 1.0 1.0 0.0 0.0 1.0 8.0 26.0 32.0 80006912.0
6235.0 41446 l1 PP3 2.0 9.0 1.0 1.0 1.0 0.0 7.0 25.0 31.0 21.0 80006913.0
6235.0 41446 l1 PP3 2.0 10.0 1.0 1.0 0.0 0.0 18.0 24.0 14.0 3.0 80006914.0
6235.0 41446 l1 PP3 3.0 0.0 1.0 1.0 1.0 0.0 1.0 4.0 6.0 4.0 80006880.0
6235.0 41446 l1 PP3 3.0 1.0 1.0 1.0 1.0 0.0 2.0 6.0 6.0 4.0 80006913.0
6235.0 41446 l1 PP3 4.0 0.0 1.0 1.0 0.0 0.0 1.0 5.0 9.0 10.0 80002900.0
6235.0 41446 l1 PP3 4.0 1.0 1.0 1.0 1.0 0.0 4.0 8.0 9.0 5.0 80002901.0
6235.0 41446 l1 PP3 4.0 2.0 1.0 1.0 1.0 0.0 1.0 5.0 10.0 10.0 80004462.0
6235.0 41446 l1 PP3 4.0 3.0 1.0 1.0 1.0 0.0 4.0 9.0 9.0 6.0 80004463.0
6235.0 41446 l1 PP3 4.0 4.0 1.0 1.0 1.0 0.0 1.0 5.0 9.0 6.0 80006880.0
6235.0 41446 l1 PP3 5.0 0.0 1.0 1.0 1.0 0.0 1.0 6.0 7.0 7.0 80004097.0
6235.0 41446 l1 PP3 5.0 1.0 1.0 1.0 1.0 0.0 5.0 6.0 6.0 3.0 80004098.0
6235.0 41446 l1 PP3 6.0 0.0 1.0 1.0 0.0 0.0 0.0 1.0 7.0 11.0 80004096.0
6235.0 41446 l1 PP3 6.0 1.0 1.0 1.0 1.0 0.0 1.0 7.0 11.0 8.0 80004097.0
6235.0 41446 l1 PP3 6.0 2.0 1.0 1.0 0.0 0.0 6.0 10.0 7.0 1.0 80004098.0
6235.0 41446 l1 PP3 6.0 3.0 1.0 1.0 1.0 0.0 0.0 5.0 7.0 6.0 80006302.0
6235.0 41446 l1 PP3 6.0 4.0 1.0 1.0 0.0 0.0 5.0 7.0 6.0 2.0 80006303.0
6235.0 41446 l1 PP3 7.0 0.0 1.0 1.0 0.0 0.0 0.0 3.0 7.0 8.0 80004886.0
6235.0 41446 l1 PP3 7.0 1.0 1.0 1.0 1.0 0.0 3.0 7.0 8.0 4.0 80004887.0
6235.0 41446 l1 PP1 0.0 0.0 1.0 1.0 0.0 0.0 1.0 3.0 7.0 8.0 80001863.0
6235.0 41446 l1 PP1 0.0 1.0 1.0 1.0 1.0 0.0 2.0 6.0 7.0 4.0 80001864.0
6235.0 41446 l1 PP1 0.0 2.0 1.0 1.0 1.0 0.0 0.0 5.0 8.0 7.0 80006181.0
6235.0 41446 l1 PP1 0.0 3.0 1.0 1.0 0.0 0.0 5.0 8.0 7.0 4.0 80006182.0
6235.0 41446 l1 PP1 0.0 4.0 1.0 1.0 0.0 0.0 1.0 2.0 7.0 11.0 80007200.0
6235.0 41446 l1 PP1 0.0 5.0 1.0 1.0 1.0 0.0 1.0 6.0 10.0 7.0 80007201.0
6235.0 41446 l1 PP1 0.0 6.0 1.0 1.0 0.0 0.0 5.0 9.0 6.0 2.0 80007202.0
6235.0 41446 l1 PP1 1.0 0.0 1.0 1.0 1.0 0.0 1.0 5.0 8.0 6.0 80000172.0
6235.0 41446 l1 PP1 1.0 1.0 1.0 1.0 1.0 0.0 2.0 4.0 6.0 4.0 80000327.0
6235.0 41446 l1 PP1 1.0 2.0 1.0 1.0 1.0 0.0 0.0 1.0 6.0 6.0 80001654.0
6235.0 41446 l1 PP1 1.0 3.0 1.0 1.0 1.0 0.0 1.0 6.0 6.0 5.0 80001655.0
6235.0 41446 l1 PP1 1.0 4.0 1.0 1.0 0.0 0.0 1.0 5.0 22.0 35.0 80001697.0
6235.0 41446 l1 PP1 1.0 5.0 1.0 1.0 1.0 0.0 4.0 21.0 34.0 29.0 80001698.0
6235.0 41446 l1 PP1 1.0 6.0 1.0 1.0 0.0 0.0 17.0 30.0 25.0 12.0 80001699.0
6235.0 41446 l1 PP1 1.0 7.0 1.0 1.0 0.0 0.0 1.0 1.0 6.0 7.0 80006180.0
6235.0 41446 l1 PP1 1.0 8.0 1.0 1.0 1.0 0.0 0.0 5.0 6.0 3.0 80006181.0
6235.0 41446 l1 PP1 2.0 0.0 1.0 1.0 1.0 0.0 0.0 5.0 8.0 6.0 80001232.0
6235.0 41446 l1 PP1 2.0 1.0 1.0 1.0 0.0 0.0 5.0 8.0 6.0 2.0 80001233.0
6235.0 41446 l1 PP1 2.0 2.0 1.0 1.0 0.0 0.0 0.0 5.0 38.0 67.0 80001697.0
6235.0 41446 l1 PP1 2.0 3.0 1.0 1.0 1.0 0.0 6.0 39.0 68.0 57.0 80001698.0
6235.0 41446 l1 PP1 2.0 4.0 1.0 1.0 0.0 0.0 33.0 62.0 51.0 22.0 80001699.0
6235.0 41446 l1 PP1 2.0 5.0 1.0 1.0 0.0 0.0 0.0 0.0 7.0 23.0 80002008.0
6235.0 41446 l1 PP1 2.0 6.0 1.0 1.0 0.0 0.0 0.0 8.0 24.0 28.0 80002009.0
6235.0 41446 l1 PP1 2.0 7.0 1.0 1.0 1.0 0.0 8.0 24.0 28.0 18.0 80002010.0
6235.0 41446 l1 PP1 2.0 8.0 1.0 1.0 0.0 0.0 16.0 20.0 10.0 1.0 80002011.0
6235.0 41446 l1 PP1 2.0 9.0 1.0 1.0 1.0 0.0 0.0 3.0 6.0 5.0 80002021.0
6235.0 41446 l1 PP1 2.0 10.0 1.0 1.0 1.0 0.0 2.0 4.0 6.0 5.0 80002352.0
6235.0 41446 l1 PP1 2.0 11.0 1.0 1.0 0.0 0.0 0.0 2.0 7.0 11.0 80003566.0
6235.0 41446 l1 PP1 2.0 12.0 1.0 1.0 1.0 0.0 2.0 7.0 11.0 9.0 80003567.0
6235.0 41446 l1 PP1 2.0 13.0 1.0 1.0 0.0 0.0 5.0 9.0 7.0 3.0 80003568.0
6235.0 41446 l1 PP1 2.0 14.0 1.0 1.0 1.0 0.0 0.0 5.0 11.0 7.0 80003656.0
6235.0 41446 l1 PP1 2.0 15.0 1.0 1.0 0.0 0.0 5.0 11.0 7.0 3.0 80003657.0
6235.0 41446 l1 PP1 2.0 16.0 1.0 1.0 0.0 0.0 1.0 3.0 7.0 11.0 80006600.0
6235.0 41446 l1 PP1 2.0 17.0 1.0 1.0 1.0 0.0 2.0 6.0 10.0 9.0 80006601.0
6235.0 41446 l1 PP1 2.0 18.0 1.0 1.0 0.0 0.0 4.0 8.0 7.0 4.0 80006602.0
6235.0 41446 l1 PP1 3.0 0.0 1.0 1.0 1.0 0.0 1.0 4.0 7.0 5.0 80001698.0
6235.0 41446 l1 PP1 3.0 1.0 1.0 1.0 0.0 0.0 0.0 1.0 13.0 36.0 80002008.0
6235.0 41446 l1 PP1 3.0 2.0 1.0 1.0 0.0 0.0 1.0 13.0 36.0 40.0 80002009.0
6235.0 41446 l1 PP1 3.0 3.0 1.0 1.0 1.0 0.0 12.0 35.0 39.0 24.0 80002010.0
6235.0 41446 l1 PP1 3.0 4.0 1.0 1.0 0.0 0.0 23.0 27.0 12.0 0.0 80002011.0
6235.0 41446 l1 PP1 3.0 5.0 1.0 1.0 1.0 0.0 0.0 4.0 9.0 7.0 80003656.0
6235.0 41446 l1 PP1 3.0 6.0 1.0 1.0 0.0 0.0 4.0 9.0 7.0 3.0 80003657.0
6235.0 41446 l1 PP1 3.0 7.0 1.0 1.0 1.0 0.0 2.0 4.0 6.0 3.0 80005579.0
6235.0 41446 l1 PP1 3.0 8.0 1.0 1.0 1.0 0.0 0.0 4.0 8.0 7.0 80005656.0
6235.0 41446 l1 PP1 3.0 9.0 1.0 1.0 0.0 0.0 4.0 8.0 7.0 3.0 80005657.0
6235.0 41446 l1 PP1 3.0 10.0 1.0 1.0 0.0 0.0 1.0 3.0 15.0 30.0 80005812.0
6235.0 41446 l1 PP1 3.0 11.0 1.0 1.0 1.0 0.0 2.0 14.0 29.0 27.0 80005813.0
6235.0 41446 l1 PP1 3.0 12.0 1.0 1.0 0.0 0.0 12.0 27.0 25.0 12.0 80005814.0
6235.0 41446 l1 PP1 3.0 13.0 1.0 1.0 1.0 0.0 2.0 4.0 6.0 5.0 80007485.0
6235.0 41446 l1 PP1 3.0 14.0 1.0 1.0 0.0 0.0 2.0 2.0 6.0 11.0 80007800.0
6235.0 41446 l1 PP1 3.0 15.0 1.0 1.0 1.0 0.0 0.0 4.0 9.0 7.0 80007801.0
6235.0 41446 l1 PP1 3.0 16.0 1.0 1.0 0.0 0.0 4.0 9.0 7.0 3.0 80007802.0
6235.0 41446 l1 PP1 4.0 0.0 1.0 1.0 0.0 0.0 1.0 3.0 9.0 11.0 80000647.0
6235.0 41446 l1 PP1 4.0 1.0 1.0 1.0 1.0 0.0 2.0 8.0 10.0 6.0 80000648.0
6235.0 41446 l1 PP1 4.0 2.0 1.0 1.0 1.0 0.0 1.0 5.0 9.0 7.0 80000726.0
6235.0 41446 l1 PP1 4.0 3.0 1.0 1.0 0.0 0.0 4.0 8.0 6.0 3.0 80000727.0
6235.0 41446 l1 PP1 4.0 4.0 1.0 1.0 1.0 0.0 2.0 5.0 9.0 7.0 80001030.0
6235.0 41446 l1 PP1 4.0 5.0 1.0 1.0 1.0 0.0 0.0 3.0 6.0 5.0 80001347.0
6235.0 41446 l1 PP1 4.0 6.0 1.0 1.0 0.0 0.0 0.0 1.0 6.0 10.0 80001701.0
6235.0 41446 l1 PP1 4.0 7.0 1.0 1.0 1.0 0.0 2.0 7.0 11.0 8.0 80001702.0
6235.0 41446 l1 PP1 4.0 8.0 1.0 1.0 0.0 0.0 5.0 9.0 6.0 2.0 80001703.0
6235.0 41446 l1 PP1 4.0 9.0 1.0 1.0 1.0 0.0 2.0 5.0 6.0 5.0 80002010.0
6235.0 41446 l1 PP1 4.0 10.0 1.0 1.0 0.0 0.0 0.0 2.0 8.0 15.0 80002118.0
6235.0 41446 l1 PP1 4.0 11.0 1.0 1.0 1.0 0.0 2.0 8.0 15.0 13.0 80002119.0
6235.0 41446 l1 PP1 4.0 12.0 1.0 1.0 0.0 0.0 6.0 13.0 11.0 6.0 80002120.0
6235.0 41446 l1 PP1 4.0 13.0 1.0 1.0 0.0 0.0 0.0 1.0 6.0 33.0 80002219.0
6235.0 41446 l1 PP1 4.0 14.0 1.0 1.0 0.0 0.0 1.0 6.0 33.0 56.0 80002220.0
6235.0 41446 l1 PP1 4.0 15.0 1.0 1.0 1.0 0.0 5.0 32.0 55.0 46.0 80002221.0
6235.0 41446 l1 PP1 4.0 16.0 1.0 1.0 0.0 0.0 27.0 50.0 41.0 17.0 80002222.0
6235.0 41446 l1 PP1 4.0 17.0 1.0 1.0 1.0 0.0 0.0 4.0 7.0 4.0 80002492.0
6235.0 41446 l1 PP1 4.0 18.0 1.0 1.0 0.0 0.0 0.0 1.0 10.0 20.0 80003042.0
6235.0 41446 l1 PP1 4.0 19.0 1.0 1.0 1.0 0.0 2.0 11.0 21.0 20.0 80003043.0
6235.0 41446 l1 PP1 4.0 20.0 1.0 1.0 0.0 0.0 9.0 19.0 18.0 9.0 80003044.0
6235.0 41446 l1 PP1 4.0 21.0 1.0 1.0 1.0 0.0 1.0 4.0 7.0 5.0 80003567.0
6235.0 41446 l1 PP1 4.0 22.0 1.0 1.0 0.0 0.0 1.0 1.0 6.0 8.0 80004449.0
6235.0 41446 l1 PP1 4.0 23.0 1.0 1.0 1.0 0.0 0.0 5.0 7.0 4.0 80004450.0
6235.0 41446 l1 PP1 4.0 24.0 1.0 1.0 1.0 0.0 2.0 4.0 6.0 3.0 80004977.0
6235.0 41446 l1 PP1 4.0 25.0 1.0 1.0 1.0 0.0 0.0 7.0 8.0 4.0 80005068.0
6235.0 41446 l1 PP1 4.0 26.0 1.0 1.0 1.0 0.0 0.0 3.0 8.0 7.0 80005186.0
6235.0 41446 l1 PP1 4.0 27.0 1.0 1.0 0.0 0.0 3.0 8.0 7.0 3.0 80005187.0
6235.0 41446 l1 PP1 4.0 28.0 1.0 1.0 1.0 0.0 2.0 4.0 6.0 6.0 80005517.0
6235.0 41446 l1 PP1 4.0 29.0 1.0 1.0 1.0 0.0 0.0 4.0 9.0 8.0 80005813.0
6235.0 41446 l1 PP1 4.0 30.0 1.0 1.0 0.0 0.0 4.0 9.0 8.0 4.0 80005814.0
6235.0 41446 l1 PP1 4.0 31.0 1.0 1.0 1.0 0.0 0.0 3.0 6.0 4.0 80006783.0
6235.0 41446 l1 PP1 5.0 0.0 1.0 1.0 0.0 0.0 1.0 2.0 19.0 48.0 80000278.0
6235.0 41446 l1 PP1 5.0 1.0 1.0 1.0 0.0 0.0 1.0 18.0 47.0 48.0 80000279.0
6235.0 41446 l1 PP1 5.0 2.0 1.0 1.0 1.0 0.0 17.0 46.0 47.0 28.0 80000280.0
6235.0 41446 l1 PP1 5.0 3.0 1.0 1.0 0.0 0.0 29.0 30.0 11.0 0.0 80000281.0
6235.0 41446 l1 PP1 5.0 4.0 1.0 1.0 0.0 0.0 0.0 1.0 8.0 13.0 80000647.0
6235.0 41446 l1 PP1 5.0 5.0 1.0 1.0 1.0 0.0 2.0 9.0 14.0 10.0 80000648.0
6235.0 41446 l1 PP1 5.0 6.0 1.0 1.0 0.0 0.0 7.0 12.0 8.0 3.0 80000649.0
6235.0 41446 l1 PP1 5.0 7.0 1.0 1.0 0.0 0.0 0.0 3.0 19.0 35.0 80000725.0
6235.0 41446 l1 PP1 5.0 8.0 1.0 1.0 1.0 0.0 3.0 19.0 35.0 30.0 80000726.0
6235.0 41446 l1 PP1 5.0 9.0 1.0 1.0 0.0 0.0 16.0 32.0 27.0 13.0 80000727.0
6235.0 41446 l1 PP1 5.0 10.0 1.0 1.0 0.0 0.0 1.0 5.0 9.0 10.0 80001030.0
6235.0 41446 l1 PP1 5.0 11.0 1.0 1.0 1.0 0.0 4.0 8.0 9.0 5.0 80001031.0
6235.0 41446 l1 PP1 5.0 12.0 1.0 1.0 1.0 0.0 2.0 3.0 8.0 8.0 80001195.0
6235.0 41446 l1 PP1 5.0 13.0 1.0 1.0 1.0 0.0 1.0 6.0 6.0 5.0 80001196.0
6235.0 41446 l1 PP1 5.0 14.0 1.0 1.0 0.0 0.0 0.0 2.0 10.0 14.0 80001954.0
6235.0 41446 l1 PP1 5.0 15.0 1.0 1.0 1.0 0.0 3.0 11.0 15.0 11.0 80001955.0
6235.0 41446 l1 PP1 5.0 16.0 1.0 1.0 0.0 0.0 8.0 12.0 8.0 2.0 80001956.0
6235.0 41446 l1 PP1 5.0 17.0 1.0 1.0 1.0 0.0 1.0 5.0 9.0 9.0 80002129.0
6235.0 41446 l1 PP1 5.0 18.0 1.0 1.0 1.0 0.0 4.0 8.0 8.0 4.0 80002130.0
6235.0 41446 l1 PP1 5.0 19.0 1.0 1.0 0.0 0.0 0.0 2.0 7.0 40.0 80002219.0
6235.0 41446 l1 PP1 5.0 20.0 1.0 1.0 0.0 0.0 2.0 7.0 40.0 69.0 80002220.0
6235.0 41446 l1 PP1 5.0 21.0 1.0 1.0 1.0 0.0 5.0 38.0 67.0 58.0 80002221.0
6235.0 41446 l1 PP1 5.0 22.0 1.0 1.0 0.0 0.0 33.0 62.0 53.0 24.0 80002222.0
6235.0 41446 l1 PP1 5.0 23.0 1.0 1.0 1.0 0.0 0.0 3.0 9.0 8.0 80003043.0
6235.0 41446 l1 PP1 5.0 24.0 1.0 1.0 0.0 0.0 5.0 11.0 10.0 5.0 80003044.0
6235.0 41446 l1 PP1 5.0 25.0 1.0 1.0 0.0 0.0 1.0 4.0 8.0 9.0 80003246.0
6235.0 41446 l1 PP1 5.0 26.0 1.0 1.0 1.0 0.0 3.0 7.0 8.0 5.0 80003247.0
6235.0 41446 l1 PP1 5.0 27.0 1.0 1.0 1.0 0.0 0.0 2.0 6.0 4.0 80004083.0
6235.0 41446 l1 PP1 5.0 28.0 1.0 1.0 1.0 0.0 0.0 4.0 6.0 4.0 80004450.0
6235.0 41446 l1 PP1 5.0 29.0 1.0 1.0 1.0 0.0 1.0 5.0 7.0 5.0 80004977.0
6235.0 41446 l1 PP1 5.0 30.0 1.0 1.0 1.0 0.0 1.0 4.0 6.0 4.0 80005357.0
6235.0 41446 l1 PP1 5.0 31.0 1.0 1.0 0.0 0.0 0.0 1.0 7.0 18.0 80005435.0
6235.0 41446 l1 PP1 5.0 32.0 1.0 1.0 0.0 0.0 1.0 7.0 18.0 19.0 80005436.0
6235.0 41446 l1 PP1 5.0 33.0 1.0 1.0 1.0 0.0 6.0 17.0 18.0 10.0 80005437.0
6235.0 41446 l1 PP1 5.0 34.0 1.0 1.0 1.0 0.0 3.0 5.0 6.0 4.0 80005518.0
6235.0 41446 l1 PP1 5.0 35.0 1.0 1.0 0.0 0.0 0.0 5.0 16.0 18.0 80005595.0
6235.0 41446 l1 PP1 5.0 36.0 1.0 1.0 1.0 0.0 5.0 16.0 18.0 11.0 80005596.0
6235.0 41446 l1 PP1 5.0 37.0 1.0 1.0 0.0 0.0 11.0 13.0 6.0 0.0 80005597.0
6235.0 41446 l1 PP1 6.0 0.0 1.0 1.0 1.0 0.0 2.0 5.0 6.0 3.0 80000009.0
6235.0 41446 l1 PP1 6.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 6.0 18.0 80000278.0
6235.0 41446 l1 PP1 6.0 2.0 1.0 1.0 1.0 0.0 0.0 7.0 19.0 18.0 80000279.0
6235.0 41446 l1 PP1 6.0 3.0 1.0 1.0 0.0 0.0 7.0 19.0 18.0 9.0 80000280.0
6235.0 41446 l1 PP1 6.0 4.0 1.0 1.0 1.0 0.0 0.0 3.0 7.0 6.0 80000321.0
6235.0 41446 l1 PP1 6.0 5.0 1.0 1.0 0.0 0.0 3.0 7.0 6.0 3.0 80000322.0
6235.0 41446 l1 PP1 6.0 6.0 1.0 1.0 1.0 0.0 2.0 5.0 7.0 4.0 80000483.0
6235.0 41446 l1 PP1 6.0 7.0 1.0 1.0 1.0 0.0 0.0 2.0 7.0 7.0 80001313.0
6235.0 41446 l1 PP1 6.0 8.0 1.0 1.0 1.0 0.0 3.0 8.0 8.0 5.0 80001314.0
6235.0 41446 l1 PP1 6.0 9.0 1.0 1.0 0.0 0.0 1.0 2.0 6.0 8.0 80001649.0
6235.0 41446 l1 PP1 6.0 10.0 1.0 1.0 1.0 0.0 1.0 5.0 7.0 4.0 80001650.0
6235.0 41446 l1 PP1 6.0 11.0 1.0 1.0 0.0 0.0 1.0 4.0 8.0 9.0 80001954.0
6235.0 41446 l1 PP1 6.0 12.0 1.0 1.0 1.0 0.0 3.0 7.0 8.0 6.0 80001955.0
6235.0 41446 l1 PP1 6.0 13.0 1.0 1.0 1.0 0.0 1.0 3.0 6.0 6.0 80002241.0
6235.0 41446 l1 PP1 6.0 14.0 1.0 1.0 0.0 0.0 2.0 3.0 8.0 10.0 80002491.0
6235.0 41446 l1 PP1 6.0 15.0 1.0 1.0 1.0 0.0 1.0 6.0 8.0 6.0 80002492.0
6235.0 41446 l1 PP1 6.0 16.0 1.0 1.0 0.0 0.0 1.0 4.0 11.0 13.0 80002913.0
6235.0 41446 l1 PP1 6.0 17.0 1.0 1.0 1.0 0.0 3.0 10.0 12.0 8.0 80002914.0
6235.0 41446 l1 PP1 6.0 18.0 1.0 1.0 0.0 0.0 0.0 3.0 9.0 12.0 80003514.0
6235.0 41446 l1 PP1 6.0 19.0 1.0 1.0 1.0 0.0 3.0 9.0 12.0 8.0 80003515.0
6235.0 41446 l1 PP1 6.0 20.0 1.0 1.0 0.0 0.0 0.0 2.0 8.0 13.0 80004082.0
6235.0 41446 l1 PP1 6.0 21.0 1.0 1.0 1.0 0.0 2.0 8.0 13.0 10.0 80004083.0
6235.0 41446 l1 PP1 6.0 22.0 1.0 1.0 0.0 0.0 6.0 11.0 8.0 2.0 80004084.0
6235.0 41446 l1 PP1 6.0 23.0 1.0 1.0 1.0 0.0 0.0 2.0 6.0 5.0 80004976.0
6235.0 41446 l1 PP1 6.0 24.0 1.0 1.0 0.0 0.0 3.0 7.0 6.0 4.0 80004977.0
6235.0 41446 l1 PP1 6.0 25.0 1.0 1.0 0.0 0.0 0.0 2.0 19.0 42.0 80005435.0
6235.0 41446 l1 PP1 6.0 26.0 1.0 1.0 1.0 0.0 2.0 19.0 42.0 41.0 80005436.0
6235.0 41446 l1 PP1 6.0 27.0 1.0 1.0 0.0 0.0 17.0 40.0 39.0 21.0 80005437.0
6235.0 41446 l1 PP1 6.0 28.0 1.0 1.0 0.0 0.0 0.0 1.0 6.0 17.0 80005594.0
6235.0 41446 l1 PP1 6.0 29.0 1.0 1.0 0.0 0.0 1.0 6.0 17.0 20.0 80005595.0
6235.0 41446 l1 PP1 6.0 30.0 1.0 1.0 1.0 0.0 5.0 16.0 19.0 13.0 80005596.0
6235.0 41446 l1 PP1 6.0 31.0 1.0 1.0 0.0 0.0 11.0 14.0 8.0 0.0 80005597.0
6235.0 41446 l1 PP1 6.0 32.0 1.0 1.0 0.0 0.0 0.0 3.0 13.0 23.0 80005676.0
6235.0 41446 l1 PP1 6.0 33.0 1.0 1.0 1.0 0.0 3.0 13.0 23.0 20.0 80005677.0
6235.0 41446 l1 PP1 6.0 34.0 1.0 1.0 0.0 0.0 10.0 20.0 17.0 8.0 80005678.0
6235.0 41446 l1 PP1 6.0 35.0 1.0 1.0 0.0 0.0 1.0 3.0 7.0 9.0 80006561.0
6235.0 41446 l1 PP1 6.0 36.0 1.0 1.0 1.0 0.0 2.0 6.0 8.0 7.0 80006562.0
6235.0 41446 l1 PP1 6.0 37.0 1.0 1.0 0.0 0.0 0.0 1.0 6.0 9.0 80006761.0
6235.0 41446 l1 PP1 6.0 38.0 1.0 1.0 1.0 0.0 2.0 7.0 10.0 7.0 80006762.0
6235.0 41446 l1 PP1 6.0 39.0 1.0 1.0 1.0 0.0 0.0 3.0 7.0 7.0 80007036.0
6235.0 41446 l1 PP1 6.0 40.0 1.0 1.0 1.0 0.0 3.0 7.0 7.0 5.0 80007037.0
6235.0 41446 l1 PP1 6.0 41.0 1.0 1.0 0.0 0.0 1.0 6.0 18.0 22.0 80007502.0
6235.0 41446 l1 PP1 6.0 42.0 1.0 1.0 1.0 0.0 5.0 17.0 21.0 13.0 80007503.0
